"","location","mean_rent","num_contracts","CBD_dist","CBD_mins","build_age","num_rooms","over_load","dens_household","dens_pop","commuters","tspend_commuters","month_cost","area","unemp_rate","new_households_5","area_D","higher_edu","num_jobs","dens_jobs","shore","rent_m2"
"32","            Prazeres",516.41,525,3.6,22,72.47,4.6,0.142079807,3158.48,5166.9,11.37,21.42,764,87.59,0.104231166,12.7,1.57,35.95,2811,1790.4,1,5.89576435666172
"33","            Sacramento",544.05,84,1.3,8,93,4.6,0.142857143,8056.97,8714.7,10.62,22.33,575,85.24,0.112781955,16.6,0.09,38.67,1904,21155.6,0,6.38256687001408
"34","            Santa Catarina",507.6,411,1.6,13,104.53,4.4,0.142621145,13893.83,17407.1,10.75,22.42,593.8,78.2,0.12110373,14.5,0.21,31.57,1742,8295.2,0,6.49104859335038
"35","            Santa Engracia",434.42,483,3.6,13,69.81,4,0.150965251,6425.06,9543.1,12.41,25.78,691.7,67.41,0.125534396,12.1,0.55,21.64,1095,1990.9,1,6.44444444444444
"36","            Santa Isabel",575.44,594,4,17,82.72,4.7,0.108604576,6889.49,10964.2,11.7,19.63,830.4,97.58,0.091364205,13.4,0.63,42.7,10336,16406.3,0,5.89711006353761
"37","            Santa Justa",456.22,82,1.5,7,53.66,4.3,0.223602484,2677.04,3614,5.44,22.04,NA,72.06,0.140692641,22.6,0.25,11.37,3231,12924,0,6.33111296142104
"38","            Santa Maria de Belem",548.5,518,7.6,25,65.52,4.9,0.098395722,1536.56,2488.9,19.07,22.52,774,101.31,0.095493562,11.1,3.43,40.07,6236,1818.1,1,5.41407560951535
"39","            Santa Maria dos Olivais",530.68,1214,9.6,22,43.34,4.8,0.10546744,2325.07,4548.5,16.39,24.05,636.7,97.2,0.121185223,10.8,11.21,29.29,46579,4155.1,1,5.459670781893
"40","            Santiago",435.22,58,1,7,93.5,4.3,0.178683386,8617.49,9542.4,12.41,26.53,NA,67.79,0.109540636,12.6,0.06,23.01,256,4266.7,0,6.42012096179378
"41","            Santo Condestavel",535.97,1201,3.8,16,65.14,4.3,0.124068452,9239.9,14847.1,12.95,21.52,754.4,78.18,0.114716107,9.6,1.03,31.01,2740,2660.2,0,6.85558966487593
"42","            Santo Estevao",391.2,245,1.1,7,99.25,3.5,0.219161677,7723.84,7428.9,10.09,25.45,NA,51.06,0.148501362,14.3,0.23,19.7,410,1782.6,1,7.66157461809636
"43","            Santos-o-Velho",524.69,486,2.7,18,95.15,4.6,0.144158628,5456.6,7569.2,11.53,22.81,725,84.6,0.130520118,15,0.53,33.34,1894,3573.6,1,6.20200945626478
"44","            Sao Cristovao e Sao Lourenco",409.41,145,1.8,10,88.32,3.9,0.185520362,14050.02,17190.8,10.18,24.2,NA,60.8,0.170046802,15.9,0.08,21.12,513,6412.5,0,6.73371710526316
"45","            Sao Domingos de Benfica",566.91,1430,6,22,46.1,4.6,0.08901215,4701.98,7831.6,15.79,21.18,714.2,103.2,0.087387053,10.8,4.31,48.16,13177,3057.3,0,5.49331395348837
"46","            Sao Francisco Xavier",673.86,284,10.1,27,39.72,5.3,0.056557628,1834.45,3484.7,19.01,20.82,684.4,127.73,0.072377338,12.1,2.3,56.49,2018,877.4,0,5.27565959445706
"47","            Sao Joao",521.7,1171,3.7,16,62.83,4.2,0.142265982,6312.53,10087.2,11.68,25.65,364.4,75.09,0.147017642,10.8,1.51,21.3,2032,1345.7,1,6.94766280463444
"48","            Sao Joao de Brito",609.27,608,6,22,53.38,5.2,0.071680376,3060.09,5258,14.46,20.76,NA,104.4,0.102179564,9.5,2.23,41.71,5985,2683.9,0,5.83591954022988
"49","            Sao Joao de Deus",661.08,700,4.7,18,61.8,5.3,0.074944568,6965.57,10596,13.08,19.06,685.7,114.75,0.083074189,10.4,0.92,50.54,8927,9703.3,0,5.76104575163399
"50","            Sao Jorge de Arroios",579.58,1454,3.3,14,65.87,4.9,0.098606774,10324.15,15893.6,11.84,21.18,655.7,93.18,0.109964142,16,1.16,36.57,15604,13451.7,0,6.22000429276669
"51","            Sao Jose",523.27,292,2.9,13,78.85,4.4,0.138084633,7124.47,8310.9,10.76,21.45,600,74.43,0.135359116,16.9,0.33,27.88,4116,12472.7,0,7.03036410049711
"52","            Sao Mamede",635.44,396,1.8,8,75.02,5.3,0.071035941,5445.47,8815.6,13.13,18.79,695.6,115.34,0.091295938,13.5,0.61,50.79,10209,16736.1,0,5.50927692040923
"53","            Sao Miguel",355.41,216,1,7,107.08,3.3,0.225844005,21943.32,29495.4,6.5,23.15,NA,41.81,0.134848485,10.2,0.05,14.69,259,5180,0,8.50059794307582
"54","            Sao Nicolau",550.05,97,0,0,94.81,5.1,0.09921671,4511.2,4674.5,10.78,28.01,787.5,96.36,0.08135169,26.7,0.26,25.85,5197,19988.5,1,5.70828144458281
"55","            Sao Paulo",478.75,327,1.8,12,68.68,4.6,0.136470588,4661.45,6212.2,10.73,23.04,NA,79.79,0.125879044,15,0.44,24.74,3899,8861.4,1,6.00012532898859
"56","            Sao Sebastiao da Pedreira",665.84,340,3.4,14,57.77,5.7,0.071062271,3775.99,5855.1,11.72,17.5,693.6,131.29,0.084220716,12.9,1.08,55.39,23470,21731.5,0,5.07152106024831
"57","            Sao Vicente de Fora",415.54,432,4.9,16,79.46,4,0.153153153,8368.78,11176.3,10.43,24.93,NA,66.86,0.137625517,12.8,0.32,21.47,813,2540.6,0,6.21507627879151
