"","location","mean_rent","num_contracts","CBD_dist","CBD_mins","build_age","num_rooms","over_load","dens_household","dens_pop","commuters","tspend_commuters","month_cost","area","unemp_rate","new_households_5","area_D","higher_edu","num_jobs","dens_jobs","shore","rent_m2"
"137","            Brandoa",314.55,1384,15.1,22,36.54,3.9,0.246459337,3761.82,8014.7,46.91,28.11,466.9,64.65,0.188297872,10.1,2.22,4.99,2491,1122.1,0,4.86542923433875
"138","            Buraca",378.62,547,11.9,23,32.91,4.4,0.197016882,4379.45,9577.9,51.88,24.05,NA,77.53,0.18423489,11.7,1.68,12.13,1258,748.8,0,4.88352895653296
"139","            Damaia",411.53,803,13.7,20,40.18,4.2,0.150044425,8094.93,14810.5,55.15,23.99,549.4,81.49,0.138973423,14,1.41,15.95,2630,1865.2,0,5.05006749294392
"140","            Falagueira",393.48,593,14.1,23,39.7,4.1,0.169202475,4758.98,9843.8,51.41,25.66,477.3,76.16,0.163570458,10.1,1.48,12.18,1754,1185.1,0,5.16649159663866
"141","            Mina",426.94,774,14.3,23,39.34,4.2,0.171409305,3282.95,6390.6,53.18,27.05,510.7,79.42,0.171408663,15.8,2.81,13.8,1591,566.2,0,5.3757239989927
"142","            Reboleira",392.14,1145,12.3,18,36.41,3.7,0.266209569,11356.61,18902.2,53.33,25.55,NA,67.8,0.165686945,16,0.76,14.7,1937,2548.7,0,5.78377581120944
"143","            Venteira",440.98,932,14.2,22,43.62,4.2,0.140549077,2150.75,3796,55.55,25.16,568.6,80.2,0.132618576,14.8,4.88,17.15,6390,1309.4,0,5.49850374064838
"144","            Alfornelos",512.76,336,14.2,21,33.11,4.5,0.117857997,5854.99,12357.5,66.7,26.41,NA,96.01,0.126599792,13.2,0.84,29.99,600,714.3,0,5.3406936777419
"145","            Sao Bras",411.3,876,17.5,23,27.48,4.3,0.188877446,2205.86,5072,53.84,27.58,482.8,89.52,0.131972244,15,5.18,15.14,1846,356.4,0,4.59450402144772
"146","            Venda Nova",398.2,442,12.8,19,46.65,4.1,0.174590384,3926.07,7059.2,57.94,26.66,241.7,72.81,0.153278689,12.3,1.18,12.92,2329,1973.7,0,5.46902897953578
"147","            Canecas",361.96,583,22.3,29,30.83,4.7,0.138252945,930.79,2069.5,50.5,28.33,562.4,98.02,0.122110633,13.4,5.96,11.34,1444,242.3,0,3.69271577229137
"148","            Famoes",366.39,343,19.4,27,19.65,5,0.131448023,1080.66,2427.6,52.59,28.74,549.2,114.85,0.113904566,10.5,4.57,13.18,1659,363,0,3.19016107966913
"149","            Odivelas",415.37,2356,19.4,26,35.81,4.4,0.129650414,5789.64,11717.6,58.03,27.31,506.2,90.57,0.114234619,16.1,5.08,21.22,8675,1707.7,0,4.58617643811417
"150","            Olival Basto",345.87,382,18.9,25,42.07,4,0.192197125,2232.82,4284.3,60.58,30.86,NA,73.51,0.150694444,13.7,1.36,10.17,592,435.3,0,4.70507413957285
"151","            Pontinha",355.91,1417,14.6,21,35.55,4.2,0.185452163,2488.28,4970.7,52.16,28.09,494.4,79.64,0.153704516,12.2,4.64,10.68,2446,527.2,0,4.46898543445505
"152","            Povoa de Santo Adriao",397.98,511,18.8,26,34.41,4.4,0.153015995,5068.53,10573.4,55.7,27.85,479.5,86.59,0.140608284,12.8,1.24,12.95,1796,1448.4,0,4.59614274165608
"153","            Ramada",427.87,509,21,25,28.18,4.7,0.103022163,2414.96,5582.2,55.67,26.44,488,102.53,0.092765726,13.3,3.52,24,1913,543.5,0,4.17312006242075
"154","            Alcochete",445.52,438,34.6,36,37.36,4.8,0.08831113,52.12,102.5,47.56,24.01,591.4,110.96,0.123708111,17.3,119.44,22.55,3954,33.1,0,4.01514059120404
"155","            Samouco",323.85,139,38.8,39,43.27,4.7,0.0976,327.43,660.1,51.86,23.13,508.3,106.22,0.129549661,14.3,4.76,13.76,144,30.3,0,3.0488608548296
"156","            Sao Francisco",413.37,72,36.3,36,27.53,4.9,0.085956416,251.1,525.5,56.03,24.23,650.4,133.41,0.089836661,27.4,4.16,27.8,137,32.9,0,3.09849336631437
"157","            Almada",404.45,906,13,22,56.23,4.4,0.093933965,7569.34,12096.9,42.77,28.87,480.6,86.43,0.149072753,8.7,1.37,19.08,4560,3328.5,0,4.6795094295962
"158","            Caparica",310.95,767,14.5,21,36.82,4.5,0.158616272,994.75,1857.5,36.29,28.19,500,86.03,0.183695869,8.8,11.01,12.06,2607,236.8,1,3.61443682436359
"159","            Costa da Caparica",425.09,872,17.3,22,42.04,4.2,0.160506329,1374.5,1318.3,40.27,29.91,512,82.99,0.139079773,15,10.18,20.66,1565,153.7,1,5.12218339558983
"160","            Cova da Piedade",445.6,970,12.3,20,51.56,4.6,0.083038264,7657.33,13984,43.77,28.36,559.6,90.07,0.134098324,7.9,1.42,18.95,2628,1850.7,0,4.94726323970245
"161","            Trafaria",334.71,174,18.6,25,50.88,4.4,0.159904535,573.79,993.4,32.64,31.7,632.1,77.22,0.202714165,7.8,5.73,6.61,231,40.3,1,4.33449883449883
"162","            Cacilhas",419.63,284,13.7,24,51.15,4.5,0.099283154,3416.53,5523.2,46.72,31.38,NA,92.45,0.131693772,10.4,1.09,21.03,1087,997.2,0,4.53899405083829
"163","            Pragal",370.47,201,12.8,21,49.88,4.6,0.127402135,1489.32,3151.3,41.98,26.93,NA,94.97,0.157970183,8,2.27,24.84,2432,1071.4,0,3.90091607876171
"164","            Sobreda",391.88,373,14.4,22,26.35,5,0.096312209,1122.51,2459.8,41.04,28.21,469.3,111.62,0.120015844,10.1,6.17,20.86,1305,211.5,0,3.51084035119154
"165","            Charneca de Caparica",473.4,707,19.2,24,22.82,5.2,0.082879942,786.89,1286.1,43.11,30.44,647.5,124.24,0.108295241,13,23.14,25.15,2761,119.3,0,3.81036703155184
"166","            Laranjeiro",436.41,1029,13.6,24,41.9,4.4,0.156530051,2720.51,5415.2,40.47,29.76,480.4,84.74,0.181018613,9.6,3.88,12.18,2354,606.7,0,5.14998819919755
"167","            Feijo",392.67,906,13.6,22,33.92,4.5,0.123215922,2343.39,4785.6,40.74,29.15,492.8,91.98,0.125725134,9.7,3.95,17.63,2540,643,0,4.26908023483366
"168","            Barreiro",307.51,379,33.3,41,61.48,4.6,0.089712919,1341.44,2009.3,41.19,30.99,511.5,90.14,0.154368632,7.6,3.71,24.23,4341,1170.1,0,3.41147104504105
"169","            Lavradio",342.97,392,39.1,38,44.03,4.4,0.109053847,1812.38,3581.6,48.49,33.74,427.7,90.33,0.141974422,10.2,4.03,12.97,1915,475.2,0,3.79685597254511
"170","            Palhais",339.42,52,28.5,32,28.4,5.1,0.057534247,128.81,262.8,43.74,28.44,446,125.01,0.110552764,9.7,7.11,25.79,617,86.8,0,2.71514278857691
"171","            Santo Andre",332.16,358,37.1,35,36.18,4.4,0.109106347,1360.27,2744.9,44.71,32.09,471.8,90.01,0.138772537,8.2,4.18,14.09,936,223.9,0,3.69025663815132
"172","            Verderena",339.32,454,32.6,36,45.21,4.3,0.1152513,4612.59,8289.4,49.64,35.24,473.7,80.09,0.159461844,9.9,1.24,10.97,340,274.2,0,4.23673367461606
"173","            Alto do Seixalinho",326.82,680,38.8,37,43.91,4.2,0.119075279,6225.15,11386,45.65,33.84,463.1,82.6,0.168928772,9.2,1.76,10.66,1361,773.3,0,3.95665859564165
"174","            Santo Antonio da Charneca",336.3,237,34.3,32,32.73,4.9,0.116016909,693.68,1498.8,44.77,32.48,608.9,108.18,0.157885305,9,7.7,14.69,564,73.2,0,3.10870770937327
"175","            Coina",281.83,41,25.7,27,48.32,4.5,0.131771596,134.82,258.2,49.57,26.13,496.7,87.05,0.17193426,11.7,6.67,9.02,858,128.6,0,3.23756461803561
"176","            Alhos Vedros",337.25,397,39.6,40,36.3,4.6,0.107403015,458.81,840.4,55.71,30.14,445.4,96.08,0.152661622,11.1,17.91,11.2,2190,122.3,0,3.51009575353872
"177","            Baixa da Banheira",310.34,634,39.5,38,40.65,4.1,0.164472191,2938.64,5265.2,55.23,31.89,465.1,78.1,0.182750052,8.2,4,7.25,1280,320,0,3.97362355953905
"178","            Moita",366.42,423,38.8,40,38.53,4.7,0.100999706,502.86,983.9,46.76,25.68,521.8,100.5,0.154575957,8.5,17.94,12.49,2281,127.1,0,3.64597014925373
"179","            Gaio-Rosario",391.25,10,40.8,43,33.15,4.8,0.095444685,66.82,138.7,42.28,25.34,532.5,110.35,0.118794326,6.3,8.84,13.17,22,2.5,0,3.5455369279565
"180","            Sarilhos Pequenos",275.15,33,38.9,41,34.72,4.5,0.112385321,149.79,277.4,47.35,25.72,522.6,91.94,0.1015625,7.8,4.15,11.95,46,11.1,0,2.9927126386774
"181","            Vale da Amoreira",253.98,263,31.1,37,29.5,4.6,0.219618056,1843.98,4082.8,48.8,34.49,515,86.53,0.275968992,10.1,2.42,6.02,184,76,0,2.93516699410609
"182","            Canha",271.76,54,67.4,56,48.26,4.7,0.108108108,5.68,8,21.76,21.54,488.9,92.15,0.096,10.2,211.97,6.3,310,1.5,0,2.9491047205643
"183","            Montijo",391.02,1261,35.5,38,44.36,4.7,0.083513739,571.75,1097.5,41.28,25.3,465.3,102.69,0.136075949,15.4,27.25,17.78,5766,211.6,0,3.80777096114519
"184","            Santo Isidro de Pegoes",290.63,40,57.5,51,40.39,4.9,0.123263889,14.53,27.7,31.79,26,622.1,113.56,0.135135135,12.7,55.5,7.56,283,5.1,0,2.5592638252906
"185","            Sarilhos Grandes",318.71,143,37.9,39,38.88,4.6,0.137490609,148.99,291,37.8,21.54,598.8,100.2,0.135352287,13.3,11.77,8.74,324,27.5,0,3.18073852295409
"186","            Alto-Estanqueiro-Jardia",402.37,95,35.6,35,40.22,4.6,0.141666667,118.31,258.2,31.22,19.31,619,103.79,0.139553429,9,11.02,5.75,814,73.9,0,3.87677040177281
"187","            Pegoes",322.78,90,63.1,56,32.83,4.6,0.140291807,47.21,97.8,30.13,20.37,439.4,93.88,0.099284436,11.5,24.27,5.45,887,36.5,0,3.43821900298253
"188","            Atalaia",466.98,106,47.8,46,26.51,4.8,0.085580305,436.55,852.2,55.47,25.37,682.3,119.03,0.089058524,19.3,2.63,24.22,219,83.3,0,3.92321263547005
"189","            Afonsoeiro",412.44,347,31.5,34,41.25,4.6,0.098025388,908.64,1711.5,51.36,26.82,476.1,101.85,0.137463698,29,4.21,23.12,1403,333.3,0,4.04948453608247
"190","            Marateca",328.93,89,63.3,51,34.15,4.7,0.131078224,14.11,28.4,35.73,23.44,668.5,101.75,0.16724537,10.2,130.59,5.95,761,5.8,0,3.23272727272727
"191","            Palmela",389.68,439,43.6,43,31.19,5,0.082726569,116.69,225.6,42.27,22.96,645.1,123.04,0.126076932,11.4,77.51,17.74,6205,80.1,0,3.16710013003901
"192","            Pinhal Novo",385.42,811,41.8,39,31.3,4.6,0.121375661,229.63,459.1,41.5,25.48,515.9,103.18,0.136915888,12.4,54.44,13.45,2982,54.8,0,3.73541383989145
"193","            Quinta do Anjo",442.85,340,38.9,43,23.48,5,0.087747215,144.51,232.1,47.71,25.68,551.5,121.56,0.133038448,18.7,51.13,19.7,9466,185.1,0,3.6430569266206
"194","            Poceirao",293.6,82,53,51,35.02,4.6,0.173356603,15.95,31.5,28.58,23.8,608.3,98.44,0.14571949,9.8,151.46,4,564,3.7,0,2.98252742787485
"195","            Aldeia de Paio Pires",365.94,379,24.9,32,36.83,4.4,0.132497589,400.87,828.2,43.91,28.83,446.9,88.84,0.140919894,9.6,16.01,14.34,4416,275.8,0,4.11909049977488
"196","            Amora",411.53,1722,22.3,32,29.64,4.7,0.132695306,983.21,1996.3,45.78,30.01,533.2,97.5,0.158062777,10.5,24.36,12.51,4654,191.1,0,4.22082051282051
"197","            Arrentela",358.82,837,21.8,30,29.38,4.5,0.135496523,1413.54,2841,42.23,28.73,471.7,91.17,0.151892702,9.2,10.17,12.14,2836,278.9,0,3.93572447076889
"198","            Seixal",389.36,157,23.7,34,71.95,4.3,0.093268451,505.63,744.6,46.34,30.32,435.6,83.87,0.108862526,11.9,3.73,25.22,1920,514.7,0,4.64242279718612
"199","            Corroios",432.24,1277,16.4,29,24.55,4.8,0.100054259,1334.51,2785.5,61.32,31.01,551.1,104,0.12134213,14.3,17.11,18.84,4487,262.2,0,4.15615384615385
"200","            Fernao Ferro",397.01,300,25.6,34,19.29,5.2,0.081709514,418.38,707.1,47.23,30.36,519.7,129.4,0.134062927,14.3,24.13,13.88,1199,49.7,0,3.06808346213292
"201","            Sesimbra (Castelo)",384.47,491,37.9,47,25.27,4.8,0.110368824,75.75,106.3,28.17,23.81,505.2,110.61,0.115875228,9.2,179.29,16.15,2972,16.6,1,3.4759063375825
"202","            Sesimbra (Santiago)",344.02,273,40.7,53,52.1,4.2,0.149880668,3001.16,2401.4,19.05,20.23,422.5,75.52,0.129078014,5.1,2.02,7.71,1379,682.7,1,4.55534957627119
"203","            Quinta do Conde",425.2,785,33.6,39,18.5,4.8,0.107340345,861.87,1808.1,57.61,30.79,467,112.68,0.129013168,20.9,14.16,13.25,1835,129.6,0,3.77351792687256
"204","            Setubal (Nossa Senhora da Anunciada)",321.23,570,52.3,51,49.79,4.6,0.094286716,266.85,471,19.74,22.08,530.3,92.95,0.173064085,6,29.17,13.28,2970,101.8,1,3.45594405594406
"205","            Setubal (Santa Maria da Graca)",325.26,482,49.6,45,66.9,4.4,0.128429656,1745.42,2780.1,22.3,22.45,566.5,87.47,0.175424193,8.8,2.74,15.19,1755,640.5,1,3.71853206813765
"206","            Setubal (Sao Juliao)",408.9,672,50.1,47,54.36,4.8,0.077153025,1940.92,3451,26.62,23.33,553.5,109.12,0.132665991,6.5,4.85,28.1,5257,1083.9,1,3.74725073313783
"207","            Sao Lourenco",422.54,267,36.3,47,25.74,5.2,0.069053708,132.97,246.4,48.81,29.38,640.9,127.35,0.123778502,16.5,47.24,23.95,1603,33.9,0,3.31794267765999
"208","            Setubal (Sao Sebastiao)",392.55,2137,49.7,47,41.63,4.5,0.13280943,1001.91,2038,20.32,21.42,447.3,92.57,0.175456233,5.8,25.78,11.78,8283,321.3,1,4.24057470022686
"209","            Sao Simao",416.84,118,39.6,43,20.97,5.3,0.061532508,170.34,328,48.65,28.89,692.2,137.29,0.10374891,17.5,22.07,24.03,1169,53,1,3.03620074295287
"210","            Gambia-Pontes-Alto da Guerra",306.36,116,50.7,45,27.47,4.9,0.091296121,76.26,178.5,23.12,22.21,593.6,118.1,0.114516672,5.9,32.97,17.22,950,28.8,0,2.59407281964437
"211","            Sado",294.96,131,52.2,47,32.47,4.7,0.116744186,37.58,88.3,16.97,22.36,555.6,100.45,0.145695364,4.9,65.49,6.64,3307,50.5,1,2.9363862618218
