,location,mean_rent,num_contracts,CBD_dist,CBD_mins,build_age,num_rooms,over_load,dens_household,dens_pop,commuters,tspend_commuters,month_cost,area,unemp_rate,new_households_5,area_D,higher_edu,num_jobs,dens_jobs,shore,urban_intens,shower,heat,AC,no_heat,shacks,sharing,contract_km2,rent_house,rent_house_nosoc,leave_school,Total_empty,Total_sale,Total_rent,Total_demoliton,percent_empty,percent_sale,percent_rent,percent_demolition,complex_rents_newincomers,empty_per_contracts,scholar_years,percent.social_value_professionals,rent_m2
61,            Bucelas,326.26,176,32.4,39,49.67,4.6,0.115241636,76.95,137.3,38.24,25.86,622.9,93.93,0.087483176,8.8,33.97,9.15,1438,42.3,0,179.6,0.020,0.050,0.080,0.140,0.002,0.006,5.2,0.315454063,0.312267658,2.48,437,80,63,14,0.06,0.03,0.02,0.01,6.885245902,0.357954545,8.188298918,16.42,3.473437666
62,            Camarate,365.69,1643,14.9,29,38.41,4.1,0.226054156,1638.95,3496.5,47.96,28.53,476.5,73.17,0.173958225,12.6,5.66,5.42,2649,468,0,3964.5,0.030,0.040,0.070,0.250,0.009,0.018,290.3,0.51731106,0.485113835,2.96,1170,241,421,17,0.07,0.03,0.05,0.00,77.67527675,0.256238588,7.875699343,8.14,4.997813311
63,            Fanhoes,350.5,120,25,34,42.08,4.6,0.12754159,123.56,241,36.35,27.92,610.6,91.63,0.100780696,11.5,11.62,9.51,215,18.5,0,259.5,0.040,0.040,0.080,0.230,0.006,0.015,10.3,0.283733826,0.272643253,2.46,230,15,40,7,0.04,0.01,0.03,0.00,4.206098843,0.333333333,8.596713021,15.39,3.82516643
64,            Frielas,371.23,69,18.1,31,37.32,4.4,0.154716981,181.68,390.2,48.71,27.86,NA,86.48,0.118158123,9.8,5.56,7.63,2381,428.2,0,818.4,0.010,0.020,0.070,0.180,0.019,0.016,12.4,0.242767296,0.238993711,1.96,92,15,38,1,0.05,0.02,0.04,0.00,4.98034076,0.550724638,8.742967457,11.03,4.292668825
65,            Loures,425.34,971,19.2,32,37.48,4.7,0.118391023,416.22,829.1,44.11,25.11,545.2,101.99,0.10161695,12.2,33,17.33,8524,258.3,0,1087.4,0.010,0.070,0.160,0.160,0.001,0.012,29.4,0.236972233,0.228413846,1.92,2033,946,208,60,0.09,0.07,0.02,0.00,12.00230814,0.214212152,10.31138759,22.63,4.170408864
66,            Lousa,327.9,151,33,38,49.24,4.5,0.107509881,107.22,191.7,41.63,23.76,617.2,92.23,0.092020592,11,16.53,8.82,1210,73.2,0,264.9,0.020,0.050,0.080,0.160,0.001,0.003,9.1,0.272727273,0.268774704,1.05,346,23,52,18,0.05,0.01,0.03,0.01,5.89569161,0.344370861,8.123505976,15.24,3.555242329
67,            Moscavide,479.69,972,10.4,23,48.47,4,0.13497891,7256.78,12952,60.12,25.07,666.2,84.01,0.098832242,22.6,1.1,29.58,2005,1822.7,0,14774.7,0.000,0.170,0.180,0.160,0.000,0.044,883.6,0.399468833,0.394000937,2.31,814,161,148,2,0.04,0.02,0.02,0.00,5.003380663,0.152263374,11.43801788,40,5.709915486
68,            Sacavem,447.06,844,15.1,29,43.19,4.2,0.161294691,2335.05,4522.9,51.57,25.49,521.8,84.05,0.150914634,16.2,4.09,20.5,4656,1138.4,0,5661.3,0.010,0.140,0.160,0.200,0.000,0.033,206.4,0.359696641,0.31283857,1.16,1223,575,228,6,0.08,0.06,0.02,0.00,11.12195122,0.27014218,10.45050843,27.43,5.3189768
69,            Santa Iria de Azoia,376.44,712,19.7,29,29.27,4.6,0.117169704,1134.12,2412.7,47.72,27.54,556.9,95.24,0.11497006,9.9,7.56,11.97,3630,480.2,0,2892.9,0.000,0.070,0.110,0.140,0.001,0.011,94.2,0.251566059,0.248006834,2.12,849,110,146,23,0.03,0.01,0.02,0.00,12.19715957,0.20505618,9.277536467,17.28,3.952540949
70,            Santo Antao do Tojal,369.84,177,27.6,35,39.17,4.6,0.141677255,148.76,278.6,35.24,24.81,601,94.89,0.115949367,10,15.13,11.31,3664,242.2,0,520.8,0.020,0.070,0.130,0.170,0.003,0.006,11.7,0.287801779,0.275095299,1,267,32,37,22,0.04,0.01,0.02,0.01,3.271441202,0.209039548,8.48376353,17.53,3.897565602
71,            Sao Joao da Talha,369.33,808,16,26,28.83,4.6,0.151590767,1195.31,2700.9,44.6,27.51,494.9,95.14,0.13003166,10.1,6.39,9.34,2597,406.4,0,3107.3,0.010,0.030,0.100,0.160,0.002,0.012,126.4,0.278228322,0.270898316,1.89,564,88,148,11,0.03,0.01,0.02,0.00,15.84582441,0.183168317,8.881016949,13.83,3.881963422
72,            Sao Juliao do Tojal,342.86,119,22,33,39.31,4.5,0.173144876,135.18,289,33.99,28.09,440.6,89.84,0.152915292,9.9,13.28,6.64,5657,426,0,715,0.030,0.040,0.110,0.140,0.004,0.014,9,0.225441696,0.209893993,2.16,194,35,15,9,0.03,0.02,0.01,0.01,2.259036145,0.12605042,7.884097859,12.47,3.81634016
73,            Unhos,315.81,680,18.2,31,35.23,4.2,0.237317283,972.81,2121.2,42.11,31.11,539.3,74.26,0.162605133,10.2,4.48,4.74,457,102,0,2223.2,0.030,0.020,0.060,0.220,0.004,0.033,151.8,0.449125824,0.442820292,3.26,582,33,267,37,0.08,0.01,0.06,0.01,56.32911392,0.392647059,7.717916137,7.62,4.252760571
74,            Portela,603.71,228,11.2,27,32.17,5.3,0.060021209,5548.69,11978.9,63.78,24.86,615.3,125.7,0.092650009,9.8,0.99,46.07,862,870.7,0,12849.6,0.010,0.050,0.250,0.080,0.001,0.018,230.3,0.101590668,0.091198303,1.19,289,64,22,1,0.02,0.01,0.00,0.00,0.477534187,0.096491228,14.29848587,51.86,4.802784407
75,            Bobadela,434.23,232,13.7,24,40.64,4.5,0.092546412,1223.8,2476.5,53.48,25.7,524.4,93.35,0.102534825,13.1,3.57,18.14,2272,636.4,0,3112.9,0.000,0.090,0.150,0.140,0.001,0.016,65,0.198669992,0.194236631,0.73,562,138,32,3,0.04,0.03,0.01,0.00,1.764057332,0.137931034,10.39661679,25.27,4.651633637
76,            Prior Velho,380.93,319,13.7,32,36.14,4.1,0.204712813,2566.94,5406.6,57.99,26.1,538.2,83.91,0.136231884,12.7,1.32,19.68,5773,4373.5,0,9780.1,0.040,0.140,0.110,0.230,0.008,0.013,241.7,0.326951399,0.310014728,1.79,507,157,86,4,0.07,0.05,0.03,0.00,4.369918699,0.269592476,10.50017218,22.51,4.539744965
77,            Santo Antonio dos Cavaleiros,444.31,797,19.8,31,26.64,4.6,0.138834652,3283.71,7124.9,52.71,28.64,440.1,92.56,0.137482949,13.3,3.63,19.44,1265,348.5,0,7473.4,0.010,0.100,0.120,0.170,0.001,0.022,219.6,0.154763128,0.140273353,1.57,1301,418,127,0,0.05,0.04,0.01,0.00,6.532921811,0.159347553,11.29667387,20.62,4.800237684
78,            Azueira,307.09,74,41.7,46,45.83,5,0.094372294,104.29,208.4,41.21,22.34,523.9,114.13,0.072958501,9.8,15.18,10.31,454,29.9,0,238.3,0.020,0.080,0.060,0.160,0.001,0.015,4.9,0.126406926,0.124675325,2.06,220,49,39,23,0.07,0.03,0.02,0.01,3.782735209,0.527027027,8.153759398,18.63,2.690703584
79,            Carvoeira,393.02,86,54.5,52,25.22,5,0.094451004,202.12,262.4,51.05,28.12,571.3,122.32,0.115349682,22,8.21,20.53,83,10.1,1,272.5,0.010,0.120,0.060,0.130,0.001,0.002,10.5,0.160566706,0.152302243,0.82,94,56,23,3,0.05,0.03,0.01,0.00,1.120311739,0.26744186,10.62471783,30.6,3.213047744
80,            Cheleiros,325.4,63,47.6,48,41.69,4.9,0.090740741,68.6,117,41.28,20.32,565.8,106.95,0.112121212,12.6,11.52,8.68,158,13.7,0,130.7,0.030,0.090,0.050,0.170,0.000,0.007,5.5,0.183333333,0.183333333,3.9,189,8,17,1,0.03,0.01,0.02,0.00,1.958525346,0.26984127,8.015332198,18.09,3.042543245
81,            Encarnacao,339.38,116,60.1,56,35.35,5,0.10952381,85.26,168.3,31.48,23.65,525.1,119.15,0.101731602,12,28.51,8.48,849,29.8,1,198.1,0.010,0.070,0.030,0.220,0.001,0.021,4.1,0.106547619,0.092857143,1.93,215,58,45,26,0.05,0.02,0.02,0.01,5.306603774,0.387931034,8.212204922,17.16,2.848342426
82,            Enxara do Bispo,300.54,46,42.8,45,34.66,4.6,0.15301391,45.91,96.4,38.04,22.81,550.7,106.75,0.078144078,9.2,18.06,5.76,107,5.9,0,102.3,0.030,0.050,0.050,0.280,0.000,0.064,2.5,0.126738794,0.120556414,0.98,101,14,18,0,0.04,0.02,0.02,0.00,3.125,0.391304348,7.302947224,14.44,2.815362998
83,            Ericeira,444.07,521,53.8,51,27.56,4.8,0.112062453,752.77,851.4,35.44,26.2,556.8,115.55,0.110289937,18,12.05,21,1406,116.7,1,968.1,0.010,0.140,0.040,0.160,0.002,0.040,43.2,0.232183329,0.218332914,1.56,654,320,136,6,0.05,0.04,0.02,0.00,6.476190476,0.261036468,11.01179836,28.65,3.843098226
84,            Gradil,343.94,33,43.2,46,41.57,5.1,0.084474886,88.62,166.1,40.76,25.11,568.5,129.96,0.074545455,20.9,7.38,16.03,105,14.2,0,180.3,0.040,0.130,0.100,0.130,0.002,0.007,4.5,0.155251142,0.148401826,1.1,112,57,8,16,0.12,0.09,0.01,0.02,0.499064255,0.242424242,9.403437816,25.15,2.646506617
85,            Igreja Nova,352.71,120,43.8,45,37.63,5.1,0.075783972,60.35,118.9,44.13,23.94,578.2,122.93,0.091607944,15.9,25.55,16.15,499,19.5,0,138.4,0.020,0.120,0.060,0.140,0.001,0.010,4.7,0.157665505,0.155052265,0.52,198,28,42,24,0.06,0.02,0.03,0.02,2.600619195,0.35,9.689021956,24.68,2.86919385
86,            Mafra,416.22,709,44.4,47,29.34,4.9,0.089924321,190.15,375.1,33.37,23.07,503.2,117.81,0.086316008,18.1,47.95,21.41,3574,74.5,0,449.6,0.010,0.170,0.080,0.110,0.000,0.011,14.8,0.18845526,0.182668052,1.18,1170,423,230,69,0.08,0.05,0.03,0.01,10.74264362,0.324400564,11.14591117,26.07,3.532976827
87,            Malveira,409.43,363,37.3,40,41.33,4.6,0.099563665,336.32,664.2,41.98,24.15,485.4,107.97,0.089932127,19.2,9.78,18.7,4234,432.9,0,1097.1,0.010,0.210,0.080,0.100,0.001,0.030,37.1,0.278460928,0.270924236,1.33,449,171,119,29,0.10,0.05,0.04,0.01,6.363636364,0.327823691,10.6194825,23.56,3.792071872
88,            Milharado,389.76,155,36.7,42,32.33,5,0.101461039,126.27,287.5,46.9,24.52,506.5,121.79,0.070904645,14.2,24.43,14.89,2084,85.3,0,372.8,0.020,0.140,0.120,0.130,0.001,0.010,6.3,0.124188312,0.118912338,1.13,397,120,51,46,0.07,0.04,0.02,0.01,3.425117529,0.329032258,9.629562703,22.69,3.200262747
89,            Santo Estevao das Gales,321.71,35,41.5,48,40.49,4.8,0.124807396,49.59,96.1,43.19,25.83,593.8,105.54,0.086956522,10.5,17.79,9.21,274,15.4,0,111.5,0.030,0.070,0.080,0.160,0.002,0.009,2,0.118644068,0.115562404,0.96,108,17,21,2,0.05,0.02,0.02,0.00,2.280130293,0.6,8.163686382,19.31,3.04822816
90,            Santo Isidoro,408.05,87,57.2,53,29.26,5.1,0.094035088,95.32,153.6,28.4,23.82,588.8,126.06,0.099890231,15.7,24.83,15.21,462,18.6,1,172.2,0.020,0.090,0.040,0.160,0.001,0.011,3.5,0.104561404,0.101052632,2.04,225,86,31,8,0.05,0.04,0.01,0.00,2.038132807,0.356321839,9.389100127,25.85,3.236950658
91,            Sobral da Abelheira,333.65,26,56.3,53,38.13,4.9,0.083333333,40.78,74.6,26.96,25.84,600,116.77,0.072953737,11.1,15.45,7.51,83,5.4,0,80,0.040,0.060,0.030,0.180,0.007,0.024,1.7,0.103603604,0.101351351,1.25,105,9,8,1,0.03,0.01,0.01,0.00,1.065246338,0.307692308,8.064417178,17.85,2.857326368
92,            Vila Franca do Rosario,355.36,28,40.1,42,62.07,5.2,0.117834395,70.54,140.3,31,22.66,706.3,115.19,0.106481481,9.5,6.21,11.58,669,107.7,0,248,0.010,0.070,0.060,0.170,0.000,0.006,4.5,0.171974522,0.168789809,1.64,56,11,31,10,0.12,0.03,0.07,0.02,2.677029361,1.107142857,8.820689655,17.1,3.084990016
93,            Venda do Pinheiro,462.01,312,34.9,40,31.51,4.9,0.100171527,318.29,696.6,49.55,24.18,594.2,125.73,0.090699285,21,11.69,21.88,2807,240.1,0,936.7,0.020,0.240,0.120,0.090,0.001,0.008,26.7,0.165694683,0.162264151,1.48,554,219,74,10,0.08,0.06,0.02,0.00,3.382084095,0.237179487,11.17078861,28.63,3.674620218
94,            Sao Miguel de Alcainca,407.14,56,43.2,44,26.06,4.9,0.067466267,122.65,249.5,44.03,25.48,555,120.6,0.089536138,16.6,7.07,17.42,322,45.5,0,295,0.010,0.150,0.080,0.100,0.000,0.003,7.9,0.136431784,0.134932534,2.26,122,48,29,1,0.09,0.06,0.03,0.00,1.664753157,0.517857143,10.24750357,21.45,3.375953566
95,            Barcarena,423.25,345,16.9,33,31.58,4.7,0.101915566,711.51,1537.9,53.47,25.95,598.2,105.08,0.092051906,16,9.01,25.78,5494,609.8,0,2147.7,0.010,0.120,0.110,0.120,0.002,0.010,38.3,0.160870374,0.142830575,0.65,683,189,55,17,0.04,0.03,0.01,0.00,2.133436773,0.15942029,11.6351375,31.38,4.027883517
96,            Carnaxide,450.09,993,11.9,32,29.95,4.6,0.124987561,1800.8,3978.2,48.18,23.34,551.5,104.53,0.117050962,12.4,6.51,34.11,22927,3521.8,0,7500,0.000,0.140,0.110,0.140,0.000,0.008,152.5,0.244402428,0.161110558,1.8,961,258,136,12,0.03,0.02,0.01,0.00,3.987100557,0.136958711,12.55100118,38.32,4.305845212
97,            Oeiras e Sao Juliao da Barra,551.64,1670,18.4,37,36.67,4.6,0.106496345,2720.45,5029.2,49.97,28.21,606.1,103.67,0.107940831,14.2,6.73,37.35,7078,1051.7,1,6080.9,0.000,0.090,0.100,0.120,0.001,0.021,248.1,0.215793429,0.192909352,1.07,2101,508,226,25,0.04,0.03,0.01,0.00,6.050870147,0.135329341,13.37725122,44.01,5.321115077
98,            Paco de Arcos,481.08,954,17.8,36,34.62,4.4,0.15867052,2644.18,4512,51.24,27.97,716,94.06,0.110089432,16.1,3.39,35.6,7288,2149.9,1,6661.9,0.000,0.100,0.090,0.150,0.000,0.020,281.4,0.275289017,0.252745665,1.16,1135,199,204,2,0.05,0.02,0.02,0.00,5.730337079,0.213836478,13.16851018,38.9,5.114607697
99,            Alges,548.92,1034,10.3,26,44.47,4.6,0.093779803,5901.99,11254.7,55.75,22.53,605.8,108.43,0.09326716,14.9,1.98,42.57,11953,6036.9,1,17291.6,0.000,0.160,0.180,0.130,0.000,0.022,522.2,0.26586839,0.263643107,1.78,1379,254,249,12,0.04,0.02,0.02,0.00,5.84918957,0.240812379,13.69902238,49.57,5.062436595
100,            Cruz Quebrada-Dafundo,513.48,362,11.4,29,46.44,4.3,0.119006554,1247.98,2192.5,52.92,25.51,716.7,90.64,0.106145251,15.1,2.92,29.2,756,258.9,1,2451.4,0.010,0.120,0.130,0.170,0.000,0.017,124,0.333218351,0.327009314,1.94,430,130,65,4,0.05,0.04,0.02,0.00,2.226027397,0.179558011,11.6902075,39.82,5.665048544
101,            Linda-a-Velha,527.85,750,10.7,29,39.04,4.6,0.095533209,4439.42,8741.2,50.89,23.94,769.3,101.8,0.101814516,10.4,2.29,32.97,8836,3858.5,0,12599.7,0.000,0.060,0.100,0.120,0.000,0.017,327.5,0.194808232,0.190481759,0.99,656,141,145,6,0.03,0.01,0.01,0.00,4.397937519,0.193333333,12.7413041,39.46,5.185166994
102,            Porto Salvo,367.8,513,18.7,39,30.73,4.6,0.160205346,901.82,2064.2,39.77,26.61,593.3,97.72,0.141331575,10.7,7.34,19.78,12918,1759.9,0,3824.1,0.000,0.110,0.080,0.170,0.001,0.008,69.9,0.297751814,0.210125686,1.1,583,178,68,5,0.04,0.03,0.01,0.00,3.437815976,0.132553606,10.39306404,25.64,3.763814982
103,            Queijas,498.24,283,15.2,31,30.71,4.8,0.086410635,2041.23,4512.5,49.83,24.45,595.1,111.43,0.092455043,11.4,2.3,30.03,1469,638.7,0,5151.2,0.000,0.180,0.140,0.100,0.001,0.007,123,0.170605613,0.16863614,0.87,392,81,61,2,0.03,0.02,0.01,0.00,2.031302031,0.215547703,12.07334257,38.72,4.471327291
104,            Caxias,481.84,235,16.2,32,32.69,5.1,0.101016139,1159.5,2640.6,50.11,27.38,574.8,113.31,0.105461812,13.5,3.41,30.75,828,242.8,0,2883.4,0.010,0.120,0.110,0.120,0.001,0.012,68.9,0.231022116,0.173939032,0.66,355,84,31,4,0.03,0.02,0.01,0.00,1.008130081,0.131914894,12.20060992,37.21,4.252404907
105,            Algueirao-Mem Martins,406.52,2693,26.4,30,33.72,4.6,0.155172414,1928.73,4141.8,36.43,27.11,508.7,97.23,0.140064593,9.6,16,14.6,9418,588.6,0,4730.4,0.010,0.070,0.030,0.140,0.001,0.017,168.3,0.205079545,0.190583865,1.36,3985,1632,850,70,0.08,0.05,0.03,0.00,58.21917808,0.315633123,10.53542854,16.87,4.18101409
106,            Almargem do Bispo,319.29,361,26.7,32,37.61,4.8,0.118529412,113.8,225.7,41.81,23.91,637.2,104.19,0.110808356,9.8,39.8,9.95,1871,47,0,272.7,0.030,0.070,0.060,0.140,0.001,0.018,9.1,0.238235294,0.235,2.16,590,84,103,14,0.04,0.02,0.02,0.00,10.35175879,0.28531856,8.490655436,19.05,3.064497553
107,            Belas,416.25,724,17.1,24,33.58,4.5,0.160238043,489.83,1142.2,50.08,27.7,665.5,104.57,0.121108025,11.2,22.84,18.68,2915,127.6,0,1269.8,0.010,0.120,0.050,0.120,0.001,0.007,31.7,0.156931893,0.142274631,1.42,1247,318,141,10,0.04,0.03,0.01,0.00,7.548179872,0.194751381,10.87955451,23.76,3.980587166
108,            Colares,397.81,416,37.3,41,40.5,5,0.124497992,181.02,228.6,25.89,25.78,657.4,106,0.111081081,8.2,33.37,19.35,911,27.3,1,255.9,0.010,0.100,0.030,0.100,0.003,0.007,12.5,0.300200803,0.296184739,1.3,804,110,214,37,0.06,0.02,0.04,0.01,11.05943152,0.514423077,10.3236246,24.87,3.752924528
109,            Montelavar,308.88,200,34.8,37,45.98,4.7,0.113409415,206.4,412.9,20.16,19.51,498.5,90.26,0.134844193,5.2,8.62,8.01,880,102.1,0,515,0.010,0.050,0.050,0.160,0.001,0.003,23.2,0.350927247,0.345221113,2.11,235,17,42,9,0.04,0.01,0.02,0.01,5.243445693,0.21,8.210909091,16.44,3.422113893
110,            Queluz,405.62,1257,14.8,21,49.41,4.2,0.16627165,3771.08,7229.3,55.33,28.37,474.7,80.23,0.167060305,12.5,3.63,11.8,3551,978.2,0,8207.5,0.010,0.020,0.030,0.200,0.001,0.025,346.3,0.3023701,0.273108478,2.33,1935,316,199,10,0.04,0.02,0.01,0.00,16.86440678,0.158313445,9.63114864,14.49,5.05571482
111,            Rio de Mouro,453.76,1932,22.1,25,30.67,4.5,0.163359218,1334.01,2868.4,43.07,28.12,470.5,98.47,0.143228449,10.1,16.49,14.37,8315,504.2,0,3372.6,0.010,0.060,0.040,0.140,0.002,0.016,117.2,0.172792637,0.165487489,1.46,2771,887,441,39,0.06,0.04,0.02,0.00,30.68893528,0.22826087,10.52836343,16.84,4.608103991
112,            Sintra (Santa Maria e Sao Miguel),416.15,391,28.6,32,42.9,5,0.084727756,403.04,765.4,31.36,24.04,564.6,107.1,0.105136612,6.6,12.23,23.71,3100,253.5,0,1018.9,0.010,0.100,0.050,0.100,0.001,0.012,32,0.285790173,0.282602922,0.97,736,144,72,18,0.05,0.03,0.01,0.00,3.036693378,0.184143223,11.21204517,31.07,3.885620915
113,            Sao Joao das Lampas,375.12,642,40.1,40,33.15,4.9,0.117835122,116.75,198.1,22.65,24.83,594,107.26,0.112343722,8.4,57.5,13.61,1757,30.6,1,228.7,0.010,0.080,0.040,0.150,0.003,0.020,11.2,0.277003882,0.263987212,1.18,843,130,198,16,0.05,0.02,0.03,0.00,14.54812638,0.308411215,9.586079815,22.5,3.497296289
114,            Sintra (Sao Martinho),379.74,240,29,35,42.14,5.1,0.101345669,145.59,255.7,25.15,23.8,698.8,113.9,0.109501348,7.6,24.35,19.24,1647,67.6,0,323.3,0.010,0.110,0.040,0.110,0.001,0.003,9.9,0.256938604,0.253574432,1.01,532,63,90,21,0.05,0.02,0.03,0.01,4.677754678,0.375,10.18362376,27.96,3.333977173
115,            Sintra (Sao Pedro de Penaferrim),517.15,482,30.3,30,32.65,5.1,0.105186115,233.82,519.1,42.79,23.16,719.5,122.63,0.0985996,14.7,26.97,24.94,10566,391.8,0,910.9,0.010,0.240,0.100,0.070,0.002,0.008,17.9,0.175240485,0.170430782,1.09,946,276,89,22,0.06,0.04,0.01,0.00,3.568564555,0.184647303,11.50100445,33.59,4.217157302
116,            Terrugem,337.03,267,42.1,46,39.67,4.7,0.118644068,96.06,195.9,19.83,20.64,704,101.04,0.101390025,7.1,26.1,10.19,2895,110.9,0,306.8,0.020,0.080,0.040,0.120,0.003,0.021,10.2,0.306625578,0.303030303,1.49,324,25,67,12,0.04,0.01,0.03,0.00,6.575073602,0.25093633,8.624162624,18.65,3.33560966
117,            Pero Pinheiro,307.84,257,26.7,33,48.23,4.6,0.126785714,153.36,271.3,17.29,18.75,566.9,90.24,0.138565891,4.9,15.65,7.13,1961,125.3,0,396.6,0.030,0.050,0.050,0.170,0.001,0.020,16.4,0.398214286,0.392261905,1.89,606,63,186,108,0.15,0.03,0.08,0.05,26.08695652,0.723735409,8.172744722,15.19,3.411347518
118,            Casal de Cambra,422.87,807,20.9,26,29.3,4.4,0.208761734,2644.84,5854.3,59.65,29.47,511.6,89.96,0.150190672,14.1,2.17,8.72,1058,487.6,0,6341.9,0.000,0.050,0.080,0.170,0.003,0.017,371.9,0.362092088,0.328341529,1.01,905,157,305,13,0.08,0.03,0.05,0.00,34.97706422,0.377942999,9.070434953,11.77,4.700644731
119,            Massama,476.89,767,17.5,23,26.3,4.5,0.129533188,6940.68,15373.2,52.9,27.97,533.1,106.15,0.123739984,10,1.83,24.06,3426,1872.1,0,17245.3,0.000,0.030,0.040,0.100,0.001,0.020,419.1,0.107754947,0.103493987,0.99,1087,308,129,5,0.03,0.02,0.01,0.00,5.36159601,0.168187744,12.12419135,27.24,4.492604805
120,            Monte Abraao,412.23,937,15.8,22,29.86,4.3,0.182659523,7987.61,16551.9,53.98,29.5,412.5,87.56,0.142103802,12.5,1.26,16.75,653,518.3,0,17070.2,0.000,0.020,0.030,0.170,0.000,0.019,743.7,0.209936678,0.188382854,1.42,921,124,295,3,0.04,0.01,0.03,0.00,17.6119403,0.314834578,10.94938172,17.79,4.707971677
121,            Agualva,420.65,1333,19.5,24,37.72,4.3,0.184474488,3596.1,7423,46.41,30.93,472,88.54,0.149821324,10.1,4.83,11.18,2848,589.6,0,8012.6,0.000,0.030,0.020,0.190,0.002,0.023,276,0.183893008,0.176769879,1.81,2210,529,382,23,0.05,0.03,0.02,0.00,34.16815742,0.286571643,9.919191585,13.31,4.750960018
122,            Cacem,397.9,817,19.6,23,36.18,4.2,0.190218727,4618.47,9819.5,45.32,29.79,467,86.29,0.13905782,10.3,2.17,10.02,3182,1466.4,0,11285.9,0.000,0.030,0.020,0.190,0.000,0.019,376.5,0.204964365,0.197222905,1.97,1162,330,188,4,0.05,0.03,0.02,0.00,18.76247505,0.230110159,9.743059119,12.2,4.611194808
123,            Mira-Sintra,279.06,122,25.7,28,39.22,5.2,0.100294985,2065.72,4573.2,37.49,33.08,NA,96.12,0.191759919,6.6,1.15,5.9,343,298.3,0,4871.5,0.000,0.010,0.010,0.200,0.001,0.016,106.1,0.124385447,0.064896755,2.95,184,13,18,2,0.01,0.01,0.01,0.00,3.050847458,0.147540984,7.747869784,10.26,2.903245943
124,            Sao Marcos,439.75,894,22.5,26,28.3,4.1,0.218821729,3579.05,7651.1,59.26,29.42,601.8,87.5,0.124915402,19.3,2.28,14.91,1307,573.2,0,8224.3,0.010,0.010,0.020,0.130,0.001,0.015,392.1,0.168324407,0.160367253,1.82,1109,181,220,1,0.05,0.02,0.03,0.00,14.75519785,0.246085011,11.28219032,15.53,5.025714286
125,            Alhandra,301.25,310,34.9,34,49.97,4.3,0.120062573,1362.66,2580.6,33.29,25.03,592.1,81.41,0.147475481,7.8,2.34,8.97,917,391.9,0,2972.5,0.020,0.020,0.080,0.200,0.000,0.022,132.5,0.3957763,0.390301134,3.22,485,60,95,0,0.05,0.02,0.03,0.00,10.59085842,0.306451613,8.556716702,13.85,3.700405356
126,            Alverca do Ribatejo,378.57,1104,27,30,33.2,4.4,0.116653061,767.01,1605.3,41.99,26.51,472.8,96.8,0.114159871,12.1,19.35,17.07,8579,443.4,0,2048.7,0.010,0.110,0.180,0.150,0.002,0.033,57.1,0.195265306,0.188734694,1.43,1341,313,220,40,0.04,0.02,0.01,0.00,12.88810779,0.199275362,10.49366799,20.8,3.910847107
127,            Cachoeiras,320.68,11,39.2,43,48.07,5,0.128472222,37.37,77.6,38.94,23.75,812.5,127.83,0.087671233,7.2,9.87,12.6,37,3.7,0,81.3,0.040,0.080,0.110,0.100,0.007,0.063,1.1,0.079861111,0.079861111,5,33,7,2,1,0.03,0.02,0.01,0.00,0.158730159,0.181818182,8.844879518,20.72,2.508644293
128,            Calhandriz,397.73,11,30.9,34,45.71,4.9,0.063897764,66.64,111.9,45.82,26.75,547.5,114.74,0.095744681,8.6,7.16,11.06,137,19.1,0,131,0.020,0.060,0.150,0.150,0.000,0.000,1.5,0.086261981,0.079872204,8.7,83,4,4,5,0.03,0.01,0.01,0.01,0.361663653,0.363636364,8.513590844,18.82,3.466358724
129,            Castanheira do Ribatejo,323.02,272,39.5,37,43.15,4.5,0.120936735,211.44,443.6,36.37,22.44,445.8,94.24,0.137159032,10,16.91,9.75,2431,143.8,0,587.4,0.010,0.050,0.100,0.140,0.004,0.013,16.1,0.218105557,0.191541419,2.33,549,69,41,6,0.03,0.02,0.01,0.00,4.205128205,0.150735294,9.177570093,14.35,3.427631579
130,            Povoa de Santa Iria,421.66,865,20.7,28,31,4.5,0.111356932,2795.46,6379.1,57.66,28.34,500.9,103.58,0.093791976,13.3,4.6,19.5,3618,786.5,0,7165.6,0.000,0.140,0.120,0.120,0.001,0.007,188,0.14795354,0.139472714,1.44,1089,405,121,0,0.04,0.03,0.01,0.00,6.205128205,0.139884393,11.38331012,20.98,4.070863101
131,            Sao Joao dos Montes,308.66,121,37.2,38,29.39,4.9,0.089612127,159.15,333.7,40.92,27.43,535.9,118.65,0.102770619,9.4,18.03,14.47,248,13.8,0,347.5,0.020,0.100,0.180,0.130,0.003,0.015,6.7,0.12394115,0.121266161,2.16,268,105,51,2,0.06,0.04,0.02,0.00,3.524533518,0.421487603,9.8345484,20.36,2.601432786
132,            Vialonga,372.32,669,21.9,32,37.19,4.5,0.130113931,519.89,1173.1,49.36,28.06,453.1,93.84,0.116824034,12.7,17.93,10.86,3836,213.9,0,1387,0.010,0.110,0.150,0.150,0.006,0.010,37.3,0.202485759,0.182547903,1.86,933,253,133,12,0.04,0.03,0.01,0.00,12.24677716,0.198804185,9.675104229,13.39,3.967604433
133,            Vila Franca de Xira,316.06,847,36.2,34,43.03,4.5,0.117362696,47.48,85.5,33.25,24.17,564.4,92.87,0.125624792,9,212.79,16.64,5342,25.1,0,110.6,0.010,0.080,0.090,0.150,0.006,0.017,4,0.307909225,0.278904257,1.78,1791,401,137,11,0.05,0.04,0.01,0.00,8.233173077,0.161747344,9.97920031,22.35,3.403251857
