,location,mean_rent,num_contracts,CBD_dist,CBD_mins,build_age,num_rooms,over_load,dens_household,dens_pop,commuters,tspend_commuters,month_cost,area,unemp_rate,new_households_5,area_D,higher_edu,num_jobs,dens_jobs,shore,urban_intens,shower,heat,AC,no_heat,shacks,sharing,contract_km2,rent_house,rent_house_nosoc,leave_school,Total_empty,Total_sale,Total_rent,Total_demoliton,percent_empty,percent_sale,percent_rent,percent_demolition,complex_rents_newincomers,empty_per_contracts,scholar_years,percent.social_value_professionals,rent_m2
16,            Campolide,469.73,1089,3.7,16,61.21,4.2,0.154991643,3335.57,5571.9,12.91,22.2,612,78.96,0.125575555,11.6,2.77,26.1,8565,3092.1,0,8664,0.030,0.100,0.120,0.180,0.002,0.032,393.1,0.480626045,0.435496125,1.76,1636,157,479,46,0.07,0.02,0.05,0.00,18.35249042,0.439853076,10.89913566,35.93,5.948961499
17,            Carnide,555.15,529,13.3,30,48.04,4.5,0.132842973,2747.08,5736.2,15.94,23.1,681.1,102.15,0.110367042,8.8,4.07,42.35,8756,2151.4,0,7887.6,0.010,0.180,0.200,0.130,0.000,0.018,130,0.309706898,0.13317731,1.72,1125,262,285,54,0.05,0.02,0.03,0.00,6.729634002,0.538752363,12.98536486,50.47,5.434654919
18,            Castelo,359.81,39,1.2,8,32.09,3.7,0.174603175,6331.84,6440.7,17.79,25.65,NA,62.19,0.2,8.5,0.06,14.8,109,1816.7,0,8257.4,0.030,0.020,0.010,0.250,0.005,0.010,650,0.835978836,0.793650794,2.07,136,5,76,1,0.24,0.01,0.22,0.00,5.135135135,1.948717949,8.963525836,26.56,5.785656858
19,            Charneca,375.48,504,16.4,27,36.83,4.3,0.224270776,2626.55,5866.6,13.93,28.96,574.2,81.48,0.180682764,10.5,1.72,17.58,371,215.7,0,6082.3,0.010,0.050,0.040,0.270,0.004,0.013,293,0.597963676,0.40038525,3.47,594,46,74,0,0.03,0.01,0.02,0.00,4.209328783,0.146825397,9.09351979,23.7,4.608247423
20,            Coracao de Jesus,586.21,321,2.2,11,74.05,5.1,0.094276094,5178.1,6607.4,13.41,20.31,NA,94.32,0.096523093,16,0.56,39.92,15376,27457.1,0,34064.5,0.010,0.050,0.120,0.170,0.001,0.122,573.2,0.505611672,0.496071829,2.07,657,97,170,13,0.10,0.03,0.06,0.00,4.258517034,0.529595016,13.24932249,48.42,6.215118745
21,            Encarnacao,497.92,210,1.9,13,95.32,4.6,0.108010801,12084.77,11920.7,11.95,20.99,87.5,82.06,0.110720562,13.7,0.19,31.16,2769,14573.7,0,26494.4,0.030,0.090,0.090,0.240,0.003,0.078,1105.3,0.582358236,0.566156616,1.27,795,119,205,9,0.15,0.05,0.09,0.00,6.578947368,0.976190476,11.50616067,43.77,6.067755301
22,            Graca,470.67,496,3.2,13,85.64,4.4,0.128936643,11766.92,16507.9,9.69,24.9,598.9,73.03,0.142043297,11.2,0.35,22.72,1020,2914.3,0,19422.2,0.020,0.030,0.060,0.190,0.000,0.043,1417.1,0.599851797,0.572804742,2.35,971,52,337,23,0.10,0.01,0.08,0.01,14.83274648,0.679435484,10.35990712,32.93,6.444885663
23,            Lapa,602.36,554,4.1,17,71.53,5.1,0.086773378,7155.11,10806.3,12.16,19.94,626.1,106.12,0.087472406,10.6,0.74,48.86,2313,3125.7,0,13932,0.010,0.100,0.160,0.100,0.001,0.022,748.6,0.47570907,0.467565291,1.27,1290,62,246,12,0.06,0.01,0.05,0.00,5.034793287,0.444043321,14.30242053,57.91,5.676215605
24,            Lumiar,590.72,1241,12.8,27,30.46,4.7,0.085452936,3497.84,6705.6,15.46,22.89,643.4,109.49,0.080933924,11,6.11,54.29,13259,2170,0,8875.6,0.000,0.140,0.210,0.110,0.000,0.024,203.1,0.224727058,0.138034819,1.19,1980,770,215,3,0.05,0.04,0.01,0.00,3.960213667,0.173247381,14.94829764,58.4,5.395195908
25,            Madalena,593.64,35,1.7,8,71.53,5.7,0.047058824,3244.72,3400.5,12.5,21.96,396.9,114.94,0.137614679,14.3,0.12,44.52,647,5391.7,0,8792.2,0.020,0.080,0.080,0.210,0.000,0.099,291.7,0.629411765,0.605882353,1.5,176,34,66,0,0.27,0.09,0.18,0.00,1.482479784,1.885714286,13.4619883,59.57,5.164781625
26,            Martires,683.65,26,0.5,4,51.66,5.3,0.04375,3276.1,3738.4,15.04,21.21,683.2,126.79,0.065420561,15.9,0.1,51.27,2728,27280,0,31018.4,0.000,0.200,0.320,0.110,0.000,0.136,260,0.4,0.4,1.7,70,9,30,3,0.13,0.03,0.09,0.01,0.585137507,1.153846154,14.68452381,60,5.39198675
27,            Marvila,383.2,818,6.3,16,43.86,4.5,0.168320365,2616.98,5977.6,11.17,25.91,469.4,81.19,0.167733603,6.4,6.37,9.69,15618,2451.8,1,8429.4,0.010,0.030,0.050,0.260,0.001,0.021,128.4,0.528588764,0.25012492,2.09,1451,225,177,29,0.03,0.01,0.01,0.00,18.26625387,0.216381418,8.203775308,13.82,4.719793078
28,            Merces,508.97,429,2.3,16,96.83,4.5,0.141404358,12127.43,16203.5,10.53,21.68,566.1,80.67,0.139138665,13.1,0.27,32.11,726,2688.9,0,18892.4,0.030,0.050,0.080,0.160,0.003,0.051,1588.9,0.613559322,0.598547215,1.53,840,39,428,1,0.14,0.01,0.13,0.00,13.32918094,0.997668998,11.6151436,44.37,6.30928474
29,            Nossa Senhora de Fatima,604.55,820,4.3,18,52.13,5,0.10629635,5473.53,8011.1,13.22,19.36,546.4,107.96,0.094770338,13.2,1.91,47.73,30831,16141.9,0,24153,0.010,0.090,0.200,0.120,0.000,0.043,429.3,0.412243711,0.374436528,1.42,2072,358,261,37,0.06,0.03,0.03,0.00,5.468258957,0.318292683,14.10635452,56.49,5.59975917
30,            Pena,475.49,579,2.4,11,84.05,4.4,0.149763033,7035.47,8971.3,11.95,23.57,716.7,73.6,0.144429767,15.3,0.5,25.13,2927,5854,0,14825.3,0.030,0.040,0.070,0.260,0.001,0.072,1158,0.658767773,0.64549763,2.31,879,92,204,10,0.09,0.03,0.06,0.00,8.117787505,0.352331606,10.87020064,33.66,6.460461957
31,            Penha de Franca,518.93,1187,3.7,15,66.63,4.3,0.128328895,12173.83,18708.7,12.19,24.44,426.9,76.48,0.112649165,13.3,0.68,25.59,3608,5305.9,0,24014.6,0.010,0.040,0.080,0.190,0.000,0.048,1745.6,0.469207723,0.443408788,2.53,1324,102,341,16,0.06,0.01,0.04,0.00,13.32551778,0.287278854,11.20073762,32.56,6.785172594
32,            Prazeres,516.41,525,3.6,22,72.47,4.6,0.142079807,3158.48,5166.9,11.37,21.42,764,87.59,0.104231166,12.7,1.57,35.95,2811,1790.4,1,6957.3,0.030,0.080,0.140,0.180,0.004,0.037,334.4,0.531741233,0.496070133,1.08,1037,219,227,15,0.09,0.04,0.05,0.00,6.314325452,0.432380952,12.26217391,47.26,5.895764357
33,            Sacramento,544.05,84,1.3,8,93,4.6,0.142857143,8056.97,8714.7,10.62,22.33,575,85.24,0.112781955,16.6,0.09,38.67,1904,21155.6,0,29870.3,0.020,0.090,0.140,0.160,0.006,0.043,933.3,0.579831933,0.543417367,1.4,160,17,24,23,0.09,0.03,0.04,0.03,0.620636152,0.285714286,12.847793,53.11,6.38256687
34,            Santa Catarina,507.6,411,1.6,13,104.53,4.4,0.142621145,13893.83,17407.1,10.75,22.42,593.8,78.2,0.12110373,14.5,0.21,31.57,1742,8295.2,0,25702.3,0.020,0.050,0.060,0.210,0.001,0.057,1957.1,0.63215859,0.611784141,2.27,749,70,220,51,0.12,0.02,0.07,0.02,6.968641115,0.535279805,11.82709447,42.27,6.491048593
35,            Santa Engracia,434.42,483,3.6,13,69.81,4,0.150965251,6425.06,9543.1,12.41,25.78,691.7,67.41,0.125534396,12.1,0.55,21.64,1095,1990.9,1,11534,0.010,0.030,0.050,0.200,0.000,0.056,878.2,0.527027027,0.504247104,1.1,590,138,166,3,0.09,0.04,0.05,0.00,7.670979667,0.3436853,10.34300961,31.16,6.444444444
36,            Santa Isabel,575.44,594,4,17,82.72,4.7,0.108604576,6889.49,10964.2,11.7,19.63,830.4,97.58,0.091364205,13.4,0.63,42.7,10336,16406.3,0,27370.5,0.020,0.120,0.150,0.100,0.000,0.035,942.9,0.504350628,0.489848534,1.34,708,55,63,1,0.03,0.01,0.01,0.00,1.475409836,0.106060606,13.53475579,53.24,5.897110064
37,            Santa Justa,456.22,82,1.5,7,53.66,4.3,0.223602484,2677.04,3614,5.44,22.04,NA,72.06,0.140692641,22.6,0.25,11.37,3231,12924,0,16538,0.040,0.010,0.040,0.420,0.000,0.158,328,0.770186335,0.739130435,8,262,13,23,31,0.11,0.02,0.04,0.05,2.022867194,0.280487805,8.972772277,20.91,6.331112961
38,            Santa Maria de Belem,548.5,518,7.6,25,65.52,4.9,0.098395722,1536.56,2488.9,19.07,22.52,774,101.31,0.095493562,11.1,3.43,40.07,6236,1818.1,1,4307,0.010,0.130,0.140,0.130,0.001,0.032,151,0.411764706,0.392245989,0.66,956,202,134,15,0.07,0.04,0.03,0.00,3.344147741,0.258687259,13.04229891,53.71,5.41407561
39,            Santa Maria dos Olivais,530.68,1214,9.6,22,43.34,4.8,0.10546744,2325.07,4548.5,16.39,24.05,636.7,97.2,0.121185223,10.8,11.21,29.29,46579,4155.1,1,8703.6,0.000,0.140,0.160,0.140,0.001,0.021,108.3,0.233456323,0.130480617,2.21,2404,813,123,8,0.04,0.03,0.00,0.00,4.199385456,0.101317957,11.29047837,38.57,5.459670782
40,            Santiago,435.22,58,1,7,93.5,4.3,0.178683386,8617.49,9542.4,12.41,26.53,NA,67.79,0.109540636,12.6,0.06,23.01,256,4266.7,0,13809.1,0.020,0.030,0.040,0.220,0.000,0.040,966.7,0.749216301,0.717868339,2.5,164,2,14,0,0.03,0.00,0.03,0.00,0.608431117,0.24137931,10.40137221,38.1,6.420120962
41,            Santo Condestavel,535.97,1201,3.8,16,65.14,4.3,0.124068452,9239.9,14847.1,12.95,21.52,754.4,78.18,0.114716107,9.6,1.03,31.01,2740,2660.2,0,17507.3,0.010,0.050,0.080,0.150,0.001,0.024,1166,0.560171129,0.514766768,1.58,1292,252,408,37,0.07,0.03,0.04,0.00,13.15704611,0.339716903,11.79133947,41.02,6.855589665
42,            Santo Estevao,391.2,245,1.1,7,99.25,3.5,0.219161677,7723.84,7428.9,10.09,25.45,NA,51.06,0.148501362,14.3,0.23,19.7,410,1782.6,1,9211.5,0.030,0.010,0.020,0.350,0.001,0.022,1065.2,0.710179641,0.68502994,0.78,607,10,50,4,0.04,0.01,0.03,0.00,2.538071066,0.204081633,9.656695157,27.2,7.661574618
43,            Santos-o-Velho,524.69,486,2.7,18,95.15,4.6,0.144158628,5456.6,7569.2,11.53,22.81,725,84.6,0.130520118,15,0.53,33.34,1894,3573.6,1,11142.8,0.030,0.060,0.080,0.220,0.000,0.046,917,0.618971061,0.601286174,0.53,753,73,117,8,0.07,0.03,0.04,0.00,3.50929814,0.240740741,11.97966676,42.89,6.202009456
44,            Sao Cristovao e Sao Lourenco,409.41,145,1.8,10,88.32,3.9,0.185520362,14050.02,17190.8,10.18,24.2,NA,60.8,0.170046802,15.9,0.08,21.12,513,6412.5,0,23603.3,0.060,0.030,0.030,0.270,0.000,0.028,1812.5,0.692307692,0.663650075,4.17,216,9,103,1,0.10,0.01,0.09,0.00,4.876893939,0.710344828,9.887540453,31.02,6.733717105
45,            Sao Domingos de Benfica,566.91,1430,6,22,46.1,4.6,0.08901215,4701.98,7831.6,15.79,21.18,714.2,103.2,0.087387053,10.8,4.31,48.16,13177,3057.3,0,10888.9,0.000,0.150,0.220,0.090,0.000,0.017,331.8,0.268092974,0.245972002,1.54,2990,510,348,16,0.04,0.03,0.02,0.00,7.225913621,0.243356643,14.37741401,55.4,5.493313953
46,            Sao Francisco Xavier,673.86,284,10.1,27,39.72,5.3,0.056557628,1834.45,3484.7,19.01,20.82,684.4,127.73,0.072377338,12.1,2.3,56.49,2018,877.4,0,4362.1,0.000,0.150,0.240,0.050,0.004,0.016,123.5,0.199327423,0.192907368,0.93,575,131,84,8,0.05,0.03,0.02,0.00,1.486988848,0.295774648,15.49426657,62.83,5.275659594
47,            Sao Joao,521.7,1171,3.7,16,62.83,4.2,0.142265982,6312.53,10087.2,11.68,25.65,364.4,75.09,0.147017642,10.8,1.51,21.3,2032,1345.7,1,11432.9,0.010,0.030,0.070,0.190,0.001,0.053,775.5,0.500142694,0.45119863,1.55,1563,127,291,22,0.05,0.01,0.03,0.00,13.66197183,0.248505551,10.41475096,29.22,6.947662805
48,            Sao Joao de Brito,609.27,608,6,22,53.38,5.2,0.071680376,3060.09,5258,14.46,20.76,NA,104.4,0.102179564,9.5,2.23,41.71,5985,2683.9,0,7941.9,0.000,0.070,0.160,0.080,0.000,0.043,272.6,0.415197807,0.400509205,1.23,706,115,101,3,0.03,0.02,0.01,0.00,2.421481659,0.166118421,13.52282995,54.16,5.83591954
49,            Sao Joao de Deus,661.08,700,4.7,18,61.8,5.3,0.074944568,6965.57,10596,13.08,19.06,685.7,114.75,0.083074189,10.4,0.92,50.54,8927,9703.3,0,20299.3,0.000,0.090,0.160,0.080,0.000,0.035,760.9,0.4654102,0.46097561,0.97,1141,69,411,5,0.08,0.01,0.06,0.00,8.132172537,0.587142857,14.8992789,59.16,5.761045752
50,            Sao Jorge de Arroios,579.58,1454,3.3,14,65.87,4.9,0.098606774,10324.15,15893.6,11.84,21.18,655.7,93.18,0.109964142,16,1.16,36.57,15604,13451.7,0,29345.3,0.000,0.060,0.140,0.160,0.001,0.142,1253.4,0.485347105,0.475498439,0.83,2058,194,632,29,0.07,0.02,0.05,0.00,17.28192508,0.434662999,12.81644837,44.54,6.220004293
51,            Sao Jose,523.27,292,2.9,13,78.85,4.4,0.138084633,7124.47,8310.9,10.76,21.45,600,74.43,0.135359116,16.9,0.33,27.88,4116,12472.7,0,20783.6,0.030,0.040,0.080,0.210,0.002,0.085,884.8,0.605048255,0.590200445,1.5,734,49,229,5,0.12,0.02,0.10,0.00,8.213773314,0.784246575,11.20875151,38.5,7.0303641
52,            Sao Mamede,635.44,396,1.8,8,75.02,5.3,0.071035941,5445.47,8815.6,13.13,18.79,695.6,115.34,0.091295938,13.5,0.61,50.79,10209,16736.1,0,25551.7,0.010,0.130,0.150,0.090,0.000,0.042,649.2,0.501057082,0.493868922,2.01,561,60,186,4,0.08,0.02,0.06,0.00,3.662138216,0.46969697,14.64467766,60.15,5.50927692
53,            Sao Miguel,355.41,216,1,7,107.08,3.3,0.225844005,21943.32,29495.4,6.5,23.15,NA,41.81,0.134848485,10.2,0.05,14.69,259,5180,0,34675.4,0.020,0.000,0.020,0.160,0.000,0.025,4320,0.821885914,0.800931315,1.59,177,11,106,8,0.11,0.01,0.09,0.01,7.215793057,0.490740741,8.172265904,27.5,8.500597943
54,            Sao Nicolau,550.05,97,0,0,94.81,5.1,0.09921671,4511.2,4674.5,10.78,28.01,787.5,96.36,0.08135169,26.7,0.26,25.85,5197,19988.5,1,24663,0.020,0.040,0.050,0.210,0.000,0.170,373.1,0.673629243,0.660574413,1.7,574,49,132,29,0.18,0.04,0.11,0.03,5.106382979,1.360824742,11.8349345,28.2,5.708281445
55,            Sao Paulo,478.75,327,1.8,12,68.68,4.6,0.136470588,4661.45,6212.2,10.73,23.04,NA,79.79,0.125879044,15,0.44,24.74,3899,8861.4,1,15073.6,0.020,0.030,0.040,0.330,0.002,0.044,743.2,0.680784314,0.654901961,1.92,427,42,206,0,0.12,0.02,0.10,0.00,8.326596605,0.629969419,10.75286416,34.03,6.000125329
56,            Sao Sebastiao da Pedreira,665.84,340,3.4,14,57.77,5.7,0.071062271,3775.99,5855.1,11.72,17.5,693.6,131.29,0.084220716,12.9,1.08,55.39,23470,21731.5,0,27586.6,0.000,0.170,0.240,0.080,0.001,0.055,314.8,0.43040293,0.424908425,0.82,743,110,240,6,0.09,0.03,0.06,0.00,4.332912078,0.705882353,15.48105377,62.3,5.07152106
57,            Sao Vicente de Fora,415.54,432,4.9,16,79.46,4,0.153153153,8368.78,11176.3,10.43,24.93,NA,66.86,0.137625517,12.8,0.32,21.47,813,2540.6,0,13716.9,0.040,0.020,0.050,0.270,0.003,0.051,1350,0.655405405,0.641328829,3.13,495,37,242,2,0.11,0.01,0.09,0.00,11.27154169,0.560185185,10.04490829,30.89,6.215076279
58,            Se,544.97,72,0.5,4,85.49,5.2,0.085365854,7259.21,7584.3,10.22,22.58,433.3,100.3,0.106837607,17.7,0.12,33.29,407,3391.7,0,10976,0.020,0.060,0.050,0.220,0.000,0.077,600,0.587804878,0.580487805,4.2,366,20,42,13,0.09,0.02,0.05,0.02,1.261640132,0.583333333,11.82614057,48.8,5.433399801
59,            Socorro,362.76,372,1.2,6,87.69,3.9,0.219457014,18860.78,27646.2,8.28,21.6,NA,51.93,0.175081967,21,0.11,11.96,866,7872.7,0,35518.9,0.050,0.000,0.020,0.430,0.004,0.139,3381.8,0.770739065,0.748868778,5.38,590,16,271,38,0.16,0.01,0.13,0.02,22.65886288,0.728494624,8.576993752,15.02,6.985557481
60,            Apelacao,260.62,256,17.3,31,31.06,4.3,0.246801706,1544.94,3962,43.23,29.81,413.6,84.53,0.238315952,8.7,1.43,5.13,282,197.2,0,4159.2,0.010,0.030,0.050,0.250,0.002,0.006,179,0.481876333,0.289445629,0.85,210,32,54,7,0.04,0.01,0.02,0.00,10.52631579,0.2109375,7.838842975,8.37,3.08316574
